SequenceName,mcg,gvh,lip,chg,aac,alm1,alm2,Class
THIK_ECOLI,0.17,0.52,0.48,0.50,0.49,0.37,0.46,cp
TYRB_ECOLI,0.36,0.42,0.48,0.50,0.53,0.32,0.41,cp
UBIC_ECOLI,0.30,0.37,0.48,0.50,0.43,0.18,0.30,cp
UGPQ_ECOLI,0.26,0.40,0.48,0.50,0.36,0.26,0.37,cp
USPA_ECOLI,0.40,0.41,0.48,0.50,0.55,0.22,0.33,cp
UVRB_ECOLI,0.22,0.34,0.48,0.50,0.42,0.29,0.39,cp
UVRC_ECOLI,0.44,0.35,0.48,0.50,0.44,0.52,0.59,cp
XGPT_ECOLI,0.27,0.42,0.48,0.50,0.37,0.38,0.43,cp
XYLA_ECOLI,0.16,0.43,0.48,0.50,0.54,0.27,0.37,cp
RODA_ECOLI,0.61,0.66,0.48,0.50,0.46,0.87,0.88,im
SECE_ECOLI,0.48,0.49,0.48,0.50,0.52,0.77,0.71,im
SECF_ECOLI,0.11,0.50,0.48,0.50,0.58,0.72,0.68,im
SECY_ECOLI,0.31,0.36,0.48,0.50,0.58,0.94,0.94,im
TNAB_ECOLI,0.68,0.51,0.48,0.50,0.71,0.75,0.78,im
XYLE_ECOLI,0.69,0.39,0.48,0.50,0.57,0.76,0.79,im
YCEE_ECOLI,0.52,0.54,0.48,0.50,0.62,0.76,0.79,im
EXBD_ECOLI,0.46,0.59,0.48,0.50,0.36,0.76,0.23,im
FTSL_ECOLI,0.36,0.45,0.48,0.50,0.38,0.79,0.17,im
FTSN_ECOLI,0.00,0.51,0.48,0.50,0.35,0.67,0.44,im
FTSQ_ECOLI,0.10,0.49,0.48,0.50,0.41,0.67,0.21,im
MOTB_ECOLI,0.30,0.51,0.48,0.50,0.42,0.61,0.34,im
TOLA_ECOLI,0.61,0.47,0.48,0.50,0.00,0.80,0.32,im
TOLQ_ECOLI,0.63,0.75,0.48,0.50,0.64,0.73,0.66,im
EMRB_ECOLI,0.71,0.52,0.48,0.50,0.64,1.00,0.99,im
NUPC_ECOLI,0.70,0.53,0.48,0.50,0.70,0.86,0.87,imU
NUPG_ECOLI,0.64,0.45,0.48,0.50,0.67,0.61,0.66,imU
PNTB_ECOLI,0.81,0.52,0.48,0.50,0.57,0.78,0.80,imU
PTKC_ECOLI,0.73,0.26,0.48,0.50,0.57,0.75,0.78,imU
RHAT_ECOLI,0.49,0.61,1.00,0.50,0.56,0.71,0.74,imU
SECD_ECOLI,0.88,0.42,0.48,0.50,0.52,0.73,0.75,imU
SECG_ECOLI,0.84,0.54,0.48,0.50,0.75,0.92,0.70,imU
TEHA_ECOLI,0.63,0.51,0.48,0.50,0.64,0.72,0.76,imU
TYRP_ECOLI,0.86,0.55,0.48,0.50,0.63,0.81,0.83,imU
UHPB_ECOLI,0.79,0.54,0.48,0.50,0.50,0.66,0.68,imU
TONB_ECOLI,0.57,0.38,0.48,0.50,0.06,0.49,0.33,imU
PHOE_ECOLI,0.74,0.78,0.48,0.50,0.75,0.54,0.15,om
TSX_ECOLI,0.68,0.76,0.48,0.50,0.84,0.45,0.27,om
BTUB_ECOLI,0.56,0.68,0.48,0.50,0.77,0.36,0.45,om
CIRA_ECOLI,0.65,0.51,0.48,0.50,0.66,0.54,0.33,om
FECA_ECOLI,0.52,0.81,0.48,0.50,0.72,0.38,0.38,om
FEPA_ECOLI,0.64,0.57,0.48,0.50,0.70,0.33,0.26,om
FHUE_ECOLI,0.60,0.76,1.00,0.50,0.77,0.59,0.52,om
OMPP_ECOLI,0.69,0.59,0.48,0.50,0.77,0.39,0.21,om
OMPT_ECOLI,0.63,0.49,0.48,0.50,0.79,0.45,0.28,om
TOLC_ECOLI,0.71,0.71,0.48,0.50,0.68,0.43,0.36,om
PA1_ECOLI,0.68,0.63,0.48,0.50,0.73,0.40,0.30,om